system:index,date,pdd_degCday,precip_mm,precip_volume_m3,snowfall_mm_we,snowfall_volume_m3,source,ssrd_wm2,t2m_C,timestamp,.geo
2646,2007-03-31,0.6852357692219591,72.42948775732397,1.2283495045069661E7,3.420382221723589,580071.0370002256,ERA5-Land Daily,861.0679804182606,0.6852357692219591,1175299200000,"{""type"":""MultiPoint"",""coordinates"":[]}"
2647,2007-04-01,0.0,32.58571132189302,5526290.961819883,2.7140609979919783,460284.2827295873,ERA5-Land Daily,1592.7818694292432,-0.4493576404941258,1175385600000,"{""type"":""MultiPoint"",""coordinates"":[]}"
2648,2007-04-02,0.5078845808298079,99.00117778094415,1.6789853337121245E7,0.46103034267983917,78187.2702028316,ERA5-Land Daily,1129.257498311217,0.5078845808298079,1175472000000,"{""type"":""MultiPoint"",""coordinates"":[]}"
2649,2007-04-03,0.0,36.07733783742554,6118444.493907242,5.100603078980554,865023.8264482174,ERA5-Land Daily,1870.3575088156474,-0.9257760911074008,1175558400000,"{""type"":""MultiPoint"",""coordinates"":[]}"
2650,2007-04-04,0.0,67.4644559862959,1.1441463090316955E7,42.00926846120904,7124455.204200766,ERA5-Land Daily,1342.0722912577382,-0.7957580673235461,1175644800000,"{""type"":""MultiPoint"",""coordinates"":[]}"
2651,2007-04-05,0.0,56.06643035365704,9508443.877876936,28.79395848008586,4883238.267584069,ERA5-Land Daily,1854.5204554011007,-1.2177865625357458,1175731200000,"{""type"":""MultiPoint"",""coordinates"":[]}"
2652,2007-04-06,0.07464657265398353,48.019457126426076,8143737.888298752,33.0598804981374,5606706.47913567,ERA5-Land Daily,1725.4970301637275,0.07464657265398353,1175817600000,"{""type"":""MultiPoint"",""coordinates"":[]}"
2653,2007-04-07,1.4764250388885116,56.759396287865464,9625965.675735991,10.513402873074607,1782993.8619878544,ERA5-Land Daily,544.122970836619,1.4764250388885116,1175904000000,"{""type"":""MultiPoint"",""coordinates"":[]}"
2654,2007-04-08,0.10901831950723032,15.025787925978364,2548260.3460544203,0.3999450356293048,67827.6626767391,ERA5-Land Daily,2007.7232884534315,0.10901831950723032,1175990400000,"{""type"":""MultiPoint"",""coordinates"":[]}"
2655,2007-04-09,0.0,376.70664797967845,6.388660733604702E7,319.0906887822737,5.4115375048867226E7,ERA5-Land Daily,469.46629787641035,-1.2121063409863884,1176076800000,"{""type"":""MultiPoint"",""coordinates"":[]}"
2656,2007-04-10,0.0,51.47130963809954,8729146.049205767,33.79394363192221,5731198.052192559,ERA5-Land Daily,1329.3101151193673,-0.5693850707646713,1176163200000,"{""type"":""MultiPoint"",""coordinates"":[]}"
2657,2007-04-11,0.0,16.417867074192632,2784346.474079061,1.0866322162187056,184284.63126036455,ERA5-Land Daily,1976.39075727089,-0.059730051407173475,1176249600000,"{""type"":""MultiPoint"",""coordinates"":[]}"
2658,2007-04-12,1.6506312580877958,3.37260924822638,571969.1008770909,1.0803341865539551E-4,18.32165329129088,ERA5-Land Daily,1307.2325316774813,1.6506312580877958,1176336000000,"{""type"":""MultiPoint"",""coordinates"":[]}"
2659,2007-04-13,3.405215177752988,13.369503695635057,2267367.02806196,0.0,0.0,ERA5-Land Daily,949.6333135167936,3.405215177752988,1176422400000,"{""type"":""MultiPoint"",""coordinates"":[]}"
2660,2007-04-14,1.8630275489775694,33.76198801952684,5725778.621258076,2.2825379673900588,387101.2301862379,ERA5-Land Daily,1002.0442286676891,1.8630275489775694,1176508800000,"{""type"":""MultiPoint"",""coordinates"":[]}"
2661,2007-04-15,0.0,20.089877425164417,3407091.744661835,4.1311170753621935,700606.3096267439,ERA5-Land Daily,1503.853721554598,-0.7174125492613663,1176595200000,"{""type"":""MultiPoint"",""coordinates"":[]}"
2662,2007-04-16,2.071145252789939,267.09391730342264,4.52971146331638E7,34.4151367049578,5836547.713924671,ERA5-Land Daily,305.8967175173985,2.071145252789939,1176681600000,"{""type"":""MultiPoint"",""coordinates"":[]}"
2663,2007-04-17,0.9548145870415935,91.49870182412128,1.5517489979393795E7,1.562360355752795,264964.5369963581,ERA5-Land Daily,554.6004521626832,0.9548145870415935,1176768000000,"{""type"":""MultiPoint"",""coordinates"":[]}"
2664,2007-04-18,1.904875831354511,9.108937268996772,1544807.0844358292,1.8533579074295288,314315.52779895585,ERA5-Land Daily,605.4498333790202,1.904875831354511,1176854400000,"{""type"":""MultiPoint"",""coordinates"":[]}"
2665,2007-04-19,1.1542392861621018,39.36060887566241,6675262.507931166,0.5480609746490148,92947.00922162025,ERA5-Land Daily,504.54040643347304,1.1542392861621018,1176940800000,"{""type"":""MultiPoint"",""coordinates"":[]}"
2666,2007-04-20,0.0,42.46644278989066,7201988.523501729,20.714090369848133,3512953.553857296,ERA5-Land Daily,1374.8897664146184,-0.9945623917118928,1177027200000,"{""type"":""MultiPoint"",""coordinates"":[]}"
2667,2007-04-21,0.0,39.88712686802487,6764555.989779246,28.308284932817756,4800871.6956793,ERA5-Land Daily,1636.0145577263677,-2.0733665997111124,1177113600000,"{""type"":""MultiPoint"",""coordinates"":[]}"
2668,2007-04-22,0.0,26.448094846793914,4485397.481901625,3.4740614769796627,589174.6339795422,ERA5-Land Daily,1139.4325521124524,-0.07268744476994964,1177200000000,"{""type"":""MultiPoint"",""coordinates"":[]}"
2669,2007-04-23,0.3048405099664557,23.024999467723653,3904866.31387112,10.109143396744216,1714434.502696725,ERA5-Land Daily,1581.2383742671036,0.3048405099664557,1177286400000,"{""type"":""MultiPoint"",""coordinates"":[]}"
2670,2007-04-24,0.195409231086097,77.5825414824087,1.3157414105648072E7,1.954055771543509,331393.12634607655,ERA5-Land Daily,1196.6822715228702,0.195409231086097,1177372800000,"{""type"":""MultiPoint"",""coordinates"":[]}"
2671,2007-04-25,0.0,36.98355706310241,6272132.44218661,18.250585965362472,3095161.780327225,ERA5-Land Daily,1404.634107942203,-1.9096138108919531,1177459200000,"{""type"":""MultiPoint"",""coordinates"":[]}"
2672,2007-04-26,0.0,13.675903538355882,2319330.1313008172,11.25620926477024,1908968.2256670555,ERA5-Land Daily,1350.949003112418,-2.5878003638390776,1177545600000,"{""type"":""MultiPoint"",""coordinates"":[]}"
2673,2007-04-27,0.0,3.107902647308249,527076.8571038177,2.645829074362441,448712.66291326133,ERA5-Land Daily,1214.0144607606599,-2.5545538829176233,1177632000000,"{""type"":""MultiPoint"",""coordinates"":[]}"
2674,2007-04-28,1.945306523823716,4.33375858568343,734972.7819714921,0.41291105532200545,70026.60185995125,ERA5-Land Daily,724.8313780194286,1.945306523823716,1177718400000,"{""type"":""MultiPoint"",""coordinates"":[]}"
2675,2007-04-29,3.5768183145899197,49.94864636542641,8470913.838205509,0.012358390956296034,2095.8899307049955,ERA5-Land Daily,216.80882760615066,3.5768183145899197,1177804800000,"{""type"":""MultiPoint"",""coordinates"":[]}"
